error_pitch,error_roll,error_distance,runway_id,frame,runway_frame,model
0.8273544311523438,6.517024517059326,0.2279305458068847,1.0,1,1.0_1,Model 1
0.82861328125,6.561057567596436,0.4151375293731689,1.0,2,1.0_2,Model 1
0.82879638671875,6.586678981781006,0.4540047645568847,1.0,3,1.0_3,Model 1
0.8352279663085938,6.38886022567749,0.6278390884399414,1.0,4,1.0_4,Model 1
0.8349380493164062,6.736643314361572,0.7578563690185547,1.0,5,1.0_5,Model 1
0.8458099365234375,7.24199914932251,0.8994866609573364,1.0,6,1.0_6,Model 1
0.8429031372070312,6.988707542419434,0.9800853729248048,1.0,7,1.0_7,Model 1
0.8545303344726562,7.323998928070068,1.0904340744018557,1.0,8,1.0_8,Model 1
0.8489990234375,7.139622211456299,1.1258465051651,1.0,9,1.0_9,Model 1
0.855560302734375,7.348274707794189,1.1300517320632937,1.0,10,1.0_10,Model 1
0.8643112182617188,7.533365726470947,1.1880604028701782,1.0,11,1.0_11,Model 1
0.8671798706054688,7.577126502990723,1.3084430694580078,1.0,12,1.0_12,Model 1
0.89715576171875,8.192177772521973,1.6032179594039917,1.0,13,1.0_13,Model 1
0.8994522094726562,8.243194580078125,1.642666220664978,1.0,14,1.0_14,Model 1
0.9201507568359376,8.627388000488281,1.9019118547439573,1.0,15,1.0_15,Model 1
0.9286346435546876,8.866889953613281,1.9570605754852293,1.0,16,1.0_16,Model 1
0.9082260131835938,8.291492462158203,2.0215015411376958,1.0,17,1.0_17,Model 1
0.9347152709960938,8.780901908874512,2.090657949447632,1.0,18,1.0_18,Model 1
0.9802703857421876,9.9603910446167,2.101367712020874,1.0,19,1.0_19,Model 1
0.9700393676757812,9.71623420715332,2.1210641860961914,1.0,20,1.0_20,Model 1
0.9859085083007812,10.047211647033691,2.144280433654785,1.0,21,1.0_21,Model 1
0.8706588745117188,7.236153602600098,2.1961348056793213,1.0,22,1.0_22,Model 1
1.0369491577148438,5.845287322998047,2.3729519844055176,1.0,23,1.0_23,Model 1
1.4750518798828125,12.903014183044434,2.57344388961792,1.0,24,1.0_24,Model 1
1.4449996948242188,11.5655517578125,2.2925615310668945,1.0,25,1.0_25,Model 1
