"","Config","Dimensao","Repeticao","Valor"
"137","Config 1",6,40,173.585491664503
"138","Config 1",6,41,99.9770775526661
"139","Config 1",6,42,149.515016551227
"140","Config 1",6,43,95.0270338635796
"141","Config 1",6,44,135.063625322475
"142","Config 1",6,45,257.017327388636
"143","Config 1",6,46,165.92202382533
"144","Config 1",6,47,71.3573144192201
"145","Config 2",6,0,0.635174191523032
"146","Config 2",6,1,0.414930574330432
"147","Config 2",6,2,0.622281598774018
"148","Config 2",6,3,0.46922430153599
"149","Config 2",6,4,1.73737960191523
"150","Config 2",6,5,4.27360049851513
"151","Config 2",6,6,0.163007315095899
"152","Config 2",6,7,0.440013560040134
"153","Config 2",6,8,0.356477130955556
"154","Config 2",6,9,1.36200948655672
"155","Config 2",6,10,0.448590398286682
"156","Config 2",6,11,0.767405306844828
"157","Config 2",6,12,0.52176785556774
"158","Config 2",6,13,0.459550437778738
"159","Config 2",6,14,1.85789198385256
"160","Config 2",6,15,0.266867951676287
"161","Config 2",6,16,0.0601327005730847
"162","Config 2",6,17,0.376499325674403
"163","Config 2",6,18,0.488015399149563
"164","Config 2",6,19,1.01733471680226
"165","Config 2",6,20,1.22415557857162
"166","Config 2",6,21,0.305870883535742
"167","Config 2",6,22,0.0579304280655759
"168","Config 2",6,23,0.535567401003804
"169","Config 2",6,24,1.49995761223545
"170","Config 2",6,25,0.309123066384188
"171","Config 2",6,26,0.313646210313349
"172","Config 2",6,27,0.162959589035598
"173","Config 2",6,28,5.41944363429385
"174","Config 2",6,29,3.82990315505265
"175","Config 2",6,30,0.390308882962147
"176","Config 2",6,31,0.603534031613282
"177","Config 2",6,32,3.76658984494535
"178","Config 2",6,33,0.954661051335293
"179","Config 2",6,34,0.336134040121504
"180","Config 2",6,35,0.108228142903243
"181","Config 2",6,36,0.148208900344185
"182","Config 2",6,37,0.429185528342156
"183","Config 2",6,38,5.41969030369508
"184","Config 2",6,39,0.738534248102146
"185","Config 2",6,40,0.625888361856333
"186","Config 2",6,41,0.242815097769393
"187","Config 2",6,42,0.638445475573692
"188","Config 2",6,43,0.896872707143807
"189","Config 2",6,44,0.501441998472917
"190","Config 2",6,45,0.51255974983039
"191","Config 2",6,46,1.49815418279527
"192","Config 2",6,47,0.201812200942694
"193","Config 1",10,0,17486.8493946231
"194","Config 1",10,1,10329.8410723964
"195","Config 1",10,2,17444.7276999892
"196","Config 1",10,3,14532.1472472672
"197","Config 1",10,4,26289.8689133032
"198","Config 1",10,5,14450.995676782
"199","Config 1",10,6,6331.20877395775
"200","Config 1",10,7,17029.5236487179
"201","Config 1",10,8,8322.78444736353
"202","Config 1",10,9,19988.2107689507
"203","Config 1",10,10,14032.6650645952
"204","Config 1",10,11,17641.7430720162
"205","Config 1",10,12,12346.5339502369
"206","Config 1",10,13,12044.9107007187
"207","Config 1",10,14,20393.9336810661
"208","Config 1",10,15,25852.4099329012
"209","Config 1",10,16,24118.7228033282
"210","Config 1",10,17,8227.52081261773
"211","Config 1",10,18,11434.8100247891
"212","Config 1",10,19,8357.41795928768
"213","Config 1",10,20,13556.4808692906
"214","Config 1",10,21,15615.2925899091
"215","Config 1",10,22,17435.2860969571
"216","Config 1",10,23,13104.9588197433
"217","Config 1",10,24,13217.0062112557
"218","Config 1",10,25,7160.7952853989
"219","Config 1",10,26,10860.9170693192
"220","Config 1",10,27,21450.7419591843
"221","Config 1",10,28,4261.35303165907
"222","Config 1",10,29,14832.997281588
"223","Config 1",10,30,20446.1155366325
"224","Config 1",10,31,15451.144154669
"225","Config 1",10,32,6034.49589952793
"226","Config 1",10,33,16577.1393591098
"227","Config 1",10,34,2079.33360883572
"228","Config 1",10,35,19151.792232305
"229","Config 1",10,36,10585.2950795512
"230","Config 1",10,37,7640.43989220778
"231","Config 1",10,38,10345.3282206915
"232","Config 1",10,39,7075.40014872923
"233","Config 1",10,40,21800.0089751576
"234","Config 1",10,41,5501.90280557367
"235","Config 1",10,42,14467.7085675464
"236","Config 1",10,43,9097.97088254171
"237","Config 1",10,44,23937.014894779
"238","Config 1",10,45,23109.2940398945
"239","Config 1",10,46,13150.3279568907
"240","Config 1",10,47,13526.9909820912
"241","Config 2",10,0,3.54404063323737
"242","Config 2",10,1,4.02952102337306
"243","Config 2",10,2,4.15498720810815
"244","Config 2",10,3,4.14435126453977
"245","Config 2",10,4,2.57386129022961
"246","Config 2",10,5,2.77575555296059
"247","Config 2",10,6,4.74309084875483
"248","Config 2",10,7,4.15190976027943
"249","Config 2",10,8,9.0645249925459
"250","Config 2",10,9,5.8985821088402
"251","Config 2",10,10,3.89564935890371
"252","Config 2",10,11,4.96693767119242
"253","Config 2",10,12,3.89581322957601
"254","Config 2",10,13,5.75568923207985
"255","Config 2",10,14,3.40802299395355
"256","Config 2",10,15,2.89198166392798
"257","Config 2",10,16,3.95884407792183
"258","Config 2",10,17,3.49644702386322
"259","Config 2",10,18,3.88453275137846
"260","Config 2",10,19,4.93181840055036
"261","Config 2",10,20,5.04440844398798
"262","Config 2",10,21,5.00034587513167
"263","Config 2",10,22,5.06412569116331
"264","Config 2",10,23,3.87583772089825
"265","Config 2",10,24,3.00907659685668
"266","Config 2",10,25,4.77627856091784
"267","Config 2",10,26,4.43069151224056
"268","Config 2",10,27,5.28631875989386
"269","Config 2",10,28,6.45039303804186
"270","Config 2",10,29,5.49018644583753
"271","Config 2",10,30,3.10630079137787
"272","Config 2",10,31,4.78575130972174
"273","Config 2",10,32,5.24021957648955
"274","Config 2",10,33,5.85605079251066
"275","Config 2",10,34,4.4606533610059
"276","Config 2",10,35,5.36566106905768
"277","Config 2",10,36,3.06079054729173
"278","Config 2",10,37,4.55239406141549
"279","Config 2",10,38,5.4304233790272
"280","Config 2",10,39,4.39803820674205
"281","Config 2",10,40,3.4025747661222
"282","Config 2",10,41,5.2515397199328
"283","Config 2",10,42,3.39963727381925
"284","Config 2",10,43,3.30186810687189
"285","Config 2",10,44,2.70995836755572
"286","Config 2",10,45,4.22897025850102
"287","Config 2",10,46,3.81085098887803
"288","Config 2",10,47,3.7684475026852
"289","Config 1",14,0,50768.2217938235
"290","Config 1",14,1,105093.694212725
"291","Config 1",14,2,91297.4646075172
"292","Config 1",14,3,96139.6483031343
"293","Config 1",14,4,87286.1959301186
"294","Config 1",14,5,91670.2995904798
"295","Config 1",14,6,76014.6004569571
"296","Config 1",14,7,123019.856724857
"297","Config 1",14,8,128870.541570372
"298","Config 1",14,9,97614.0066912238
"299","Config 1",14,10,126688.452470668
"300","Config 1",14,11,103905.656626892
"301","Config 1",14,12,113766.681173646
"302","Config 1",14,13,98250.5811008665
"303","Config 1",14,14,127037.243537888
"304","Config 1",14,15,80233.2918729169
"305","Config 1",14,16,137444.437041604
"306","Config 1",14,17,99363.0819168094
"307","Config 1",14,18,91582.0551707275
"308","Config 1",14,19,112720.3843638
"309","Config 1",14,20,95904.6397376572
"310","Config 1",14,21,87110.7950523899
"311","Config 1",14,22,114940.389761115
"312","Config 1",14,23,80024.8367894094
"313","Config 1",14,24,98173.9949059594
"314","Config 1",14,25,32910.3401021696
"315","Config 1",14,26,100373.435612538
"316","Config 1",14,27,70724.0382398912
"317","Config 1",14,28,100248.039295023
"318","Config 1",14,29,110075.045660714
"319","Config 1",14,30,94169.5768990939
"320","Config 1",14,31,48010.1391964988
"321","Config 1",14,32,139497.631465928
"322","Config 1",14,33,98205.4010699442
"323","Config 1",14,34,65326.1148927252
"324","Config 1",14,35,89314.1062525141
"325","Config 1",14,36,104070.219239257
"326","Config 1",14,37,134714.162847001
"327","Config 1",14,38,81057.8676475612
"328","Config 1",14,39,96184.1691827124
"329","Config 1",14,40,50417.2343593151
"330","Config 1",14,41,109799.658485375
"331","Config 1",14,42,60388.0613250514
"332","Config 1",14,43,84178.3404396516
"333","Config 1",14,44,82001.1917398289
"334","Config 1",14,45,77814.7930366833
"335","Config 1",14,46,101257.873523301
"336","Config 1",14,47,116766.673961153
"337","Config 2",14,0,12.933956261729
"338","Config 2",14,1,10.7761127648542
"339","Config 2",14,2,13.0779306624496
"340","Config 2",14,3,10.4730097653165
"341","Config 2",14,4,11.3660954145976
"342","Config 2",14,5,13.7987810792669
"343","Config 2",14,6,13.015724522414
"344","Config 2",14,7,14.7494589729106
"345","Config 2",14,8,12.8997272142381
"346","Config 2",14,9,12.1300563088404
"347","Config 2",14,10,12.4798656524463
"348","Config 2",14,11,12.11567221261
"349","Config 2",14,12,9.1795087873139
"350","Config 2",14,13,11.3538392102689
"351","Config 2",14,14,13.27330759735
"352","Config 2",14,15,12.5264195224357
"353","Config 2",14,16,11.667931616533
"354","Config 2",14,17,14.4099044105932
"355","Config 2",14,18,12.8536352267129
"356","Config 2",14,19,12.2324608332816
"357","Config 2",14,20,9.57172423926839
"358","Config 2",14,21,11.4289542068144
"359","Config 2",14,22,13.2318127708494
"360","Config 2",14,23,10.6911042212019
"361","Config 2",14,24,11.7970075930585
"362","Config 2",14,25,11.2507122242184
"363","Config 2",14,26,11.457022827434
"364","Config 2",14,27,10.8683410999344
"365","Config 2",14,28,15.925462087043
"366","Config 2",14,29,12.77252214952
"367","Config 2",14,30,9.33341483107794
"368","Config 2",14,31,15.5792191181207
"369","Config 2",14,32,13.353993195345
"370","Config 2",14,33,11.6785076578995
"371","Config 2",14,34,14.9638017369353
"372","Config 2",14,35,18.0952989938864
"373","Config 2",14,36,12.1136801833917
"374","Config 2",14,37,14.2644880027502
"375","Config 2",14,38,14.1179605534426
"376","Config 2",14,39,10.3913546979043
"377","Config 2",14,40,13.9189072132056
"378","Config 2",14,41,10.2989349230263
"379","Config 2",14,42,12.0859483989433
"380","Config 2",14,43,13.9740668941475
"381","Config 2",14,44,12.2902872930853
"382","Config 2",14,45,15.6154343328999
"383","Config 2",14,46,9.07168068441559
"384","Config 2",14,47,14.3003837080297
"385","Config 1",18,0,179732.568678895
"386","Config 1",18,1,230763.135912121
"387","Config 1",18,2,138596.926824943
"388","Config 1",18,3,160911.749149139
"389","Config 1",18,4,266299.222290644
"390","Config 1",18,5,171714.631396557
"391","Config 1",18,6,225805.273184861
"392","Config 1",18,7,162424.556414948
"393","Config 1",18,8,233904.573781517
"394","Config 1",18,9,194566.711764026
"395","Config 1",18,10,259571.543244154
"396","Config 1",18,11,133915.423936209
"397","Config 1",18,12,193175.511091182
